,index,desc
1399,1399,"The political tract in which Marx presented the core of his philosophy and
revolutionary program, with an introduction analyzing its significance to
the realities of today and to Marx's own times."
1400,1400,"When travel journalist Lo Blacklock is invited on a boutique luxury cruise
around the Norwegian fjords, it seems like a dream career opportunity. But
the trip takes a nightmarish turn when she wakes in the middle of the night
to hear a body being thrown overboard, only to discover that no one has
been reported missing from the boat."
1401,1401,The Last of the Mohicans: A Narrative of 1757James Fenimore Cooper
1402,1402,"Three stories are told: a young Southerner wants to become a writer; a
turbulent love-hate affair between a brilliant Jew and a beautiful Polish
woman; and of an awful wound in that woman's past--one that impels both
Sophie and Nathan toward destruction."
1403,1403,"Returning to London after her ten-month honeymoon, Becky Bloomwood Brandon
finds herself depressed by a lack of money, a search for a job, and her
best friend Suze's new best friend, until she discovers that she has a long
lost sister--who just happens to hate shopping. Reprint."
1404,1404,The Iron DaughterJulie Kagawa
1405,1405,The Prayer of Jabez:  Breaking Through to the Blessed LifeBruce H. Wilkinson
1406,1406,"Imagines the coming-of-age story of young Julia, whose world is thrown into
upheaval when it is discovered that the Earth's rotation has suddenly begun
to slow, posing a catastrophic threat to all life."
1407,1407,"Relates the author's efforts to eulogize a beloved rabbi who is near death,
while at the same time befriending a Detroit pastor who gives spiritual
guidance to the poor and homeless, and describes how observing these two
different religious leaders rekindled his own faith."
1408,1408,"A memoir begun just months before Child's death describes the legendary
food expert's years in Paris, Marseille, and Provence and her journey from
a young woman from Pasadena who cannot cook or speak any French to the
publication of her legendary Mastering cookbooks and her winning the hearts
of America as ""The French Chef."" Reprint. 175,000 first printing."
1409,1409,The Rosie EffectGraeme Simsion
1410,1410,"The hunt is on. The sinister Naga warrior has killed his friend Brahaspati
and now stalks his wife Sati. Shiva, the Tibetan immigrant who is the
prophesied destroyer of evil, will not rest till he find his demonic
adversary."
1411,1411,"In what is widely hailed as the best of his many novels, Charles Bukowski
details the long, lonely years of his own hardscrabble youth in the raw
voice of alter ego Henry Chinaski. From a harrowingly cheerless childhood
in Germany through acne-riddled high school years and his adolescent
discoveries of alcohol, women, and the Los Angeles Public Library's
collection of D. H. Lawrence, Ham on Rye offers a crude, brutal, and
savagely funny portrait of an outcast's coming-of-age during the desperate
days of the Great Depression."
1412,1412,"In alternating chapters, two teenagers describe how their feelings about
themselves, each other, and their families have changed over the years."
1413,1413,"Presents a step-by-step guide for increasing emotional intelligence through
four core principles: self-awareness, self-management, social awareness,
and relationsip management."
1414,1414,Make Way for DucklingsRobert McCloskey
1415,1415,"Relic: The #1 New York Times bestselling thriller by Douglas Preston's and
Lincoln Child, with more than one million copies sold to date Just days
before a massive exhibition opens at the popular New York Museum of Natural
History, visitors are being savagely murdered in the museum's dark hallways
and secret rooms. Autopsies indicate that the killer cannot be human... But
the museum's directors plan to go ahead with a big bash to celebrate the
new exhibition, in spite of the murders. Museum researcher Margo Green must
find out who--or what--is doing the killing. But can she do it in time to
stop the massacre?"
1416,1416,"""Suddenly, in the space of a moment, I realized what it was that I loved
about Britain-which is to say, all of it."" After nearly two decades spent
on British soil, Bill Bryson-bestsellingauthor of The Mother Tongue and
Made in America-decided to returnto the United States. (""I had recently
read,"" Bryson writes, ""that 3.7 million Americans believed that they had
been abducted by aliens at one time or another,so it was clear that my
people needed me."") But before departing, he set out ona grand farewell
tour of the green and kindly island that had so long been his home. Veering
from the ludicrous to the endearing and back again, Notes from a Small
Island is a delightfully irreverent jaunt around the unparalleled floating
nation that has produced zebra crossings, Shakespeare, Twiggie Winkie's
Farm, and places with names like Farleigh Wallop and Titsey. The result is
an uproarious social commentary that conveys the true glory of Britain,
from the satiric pen of an unapologetic Anglophile. ""Suddenly, in the space
of a moment, I realized what it was that I loved about Britain-which is to
say, all of it."" After nearly two decades spent on British soil, Bill
Bryson-bestselling author of ,i>The Mother Tongue and Made in America-
decided to return to the United States. (""I had recently read,"" Bryson
writes, ""that 3.7 million Americans believed that they had been abducted by
aliens at one time or another, so it was clear that my people needed me."")
But before departing, he set out on a grand farewell tour of the green and
kindly island that had so long been his home. Veering from the ludicrous to
the endearing and back again, Notes from a Small Island is a delightfully
irreverent jaunt around the unparalleled floating nation that has produced
zebra crossings, Shakespeare, Twiggie Winkie's Farm, and places with names
like Farleigh Wallop and Titsey. The result is an uproarious social
commentary that conveys the true glory of Britain, from the satiric pen of
an unapologetic Anglophile."
1417,1417,"Chicago wizard Harry Dresden's calm life is interrupted when Mab, monarch
of the Winter Court of the Sidhe, calls in an old favor and sends Harry on
a quest that leaves him trapped between a deadly foe and an untrustworthy
ally."
1418,1418,"""An epidemic of apocalyptic proportions has swept the globe causing the
dead to rise and feed on the living. In a matter of months society has
crumbled-- no government, no grocery stores, no mail delivery, no cable TV.
In a world ruled by the dead, we are forced to finally start living""--P.
[4] of cover."
1419,1419,"Miri lives on a mountain where, for generations, her ancestors have lived a
simple life. Then word comes that the king's priests have divined her
village the home of the future princess. In a year's time, the prince will
choose his bride from among the village girls. The king's ministers set up
an academy on the mountain, and every teenage girl must attend and learn
how to become a princess. Soon Miri finds herself confronted with a harsh
academy mistress, bitter competition among the girls, and her own
conflicting desires. Winning the contest could give her everything she ever
wanted-but it would mean leaving her home and family behind. Packaged with
a fresh cover, this timelessly charming, award-winning story from best-
selling author Shannon Hale is sure to enchant a whole new generation of
readers."
1420,1420,"Everything, EverythingNicola Yoon, David Yoon"
1421,1421,"One of George Bernard Shaw's best-known plays, Pygmalion was a rousing
success on the London and New York stages, an entertaining motion picture
and a great hit with its musical version, My Fair Lady. An updated and
considerably revised version of the ancient Greek legend of Pygmalion and
Galatea, the 20th-century story pokes fun at the antiquated British class
system. In Shaw's clever adaptation, Professor Henry Higgins, a linguistic
expert, takes on a bet that he can transform an awkward cockney flower
seller into a refined young lady simply by polishing her manners and
changing the way she speaks. In the process of convincing society that his
creation is a mysterious royal figure, the Professor also falls in love
with his elegant handiwork. The irresistible theme of the emerging
butterfly, together with Shaw's brilliant dialogue and splendid skills as a
playwright, have made Pygmalion one of the most popular comedies in the
English language. A staple of college drama courses, it is still widely
performed."
1422,1422,"New York Times Notable Book Washington Post Best Book Of The Year Amazon's
Top 100: Editor's Choice Usa Today Best Book Of The Year Dellarobia Turnbow
is a restless farm wife who gave up her own plans when she accidentally
became pregnant at seventeen. Now, after a decade of domestic disharmony on
a failing farm, she seeks momentary escape through an obsessive flirtation
with a younger man. She hikes up a mountain road behind her house toward a
secret tryst, but instead encounters a shocking sight: a silent, forested
valley filled with what looks like a lake of fire. She can only understand
it as a cautionary miracle, but it sparks a raft of other explanations from
scientists, religious leaders, and the media. The bewildering emergency
draws rural farmers into unexpected acquaintance with urbane journalists,
opportunists, sightseers, and a striking biologist with his own stake in
the outcome. As the community lines up to judge the woman and her miracle,
Dellarobia confronts her family, her church, her town, and a larger world,
in a flight toward truth that could undo all she has ever believed."
1423,1423,"For centuries mystical creatures of all description were gathered into a
hidden refuge called Fablehaven to prevent their extinction. The sanctuary
survives today as one of the last strongholds of true magic. Enchanting?
Absolutely. Exciting? You bet. Safe? Well, actually, quite the opposite.
Kendra and her brother, Seth, have no idea that their grandfather is the
current caretaker of Fablehaven. Inside the gated woods, ancient laws keep
relative order among greedy trolls, mischievous satyrs, plotting witches,
spiteful imps, and jealous fairies. However, when the rules get broken --
Seth is a bit too curious and reckless for his own good -- powerful forces
of evil are unleashed, and Kendra and her brother face the greatest
challenge of their lives. To save their family, Fablehaven, and perhaps
even the world, Kendra and Seth must find the courage to do what they fear
most."
1424,1424,"The sequel to Bridget Jones' Diary continues to follow single woman Bridget
on her quest for love, sex, and truth from the cappuccino bars of London to
the beaches of Thailand. Reprint."
1425,1425,"A captivating and mystical story of life and love during the wartime
Italian occupation of the isolated Greek island of Cephallonia.
Extravagant, inventive, emotionally sweeping, this rich and lyrical,
heartbreaking and hilarious novel has been widely hailed as a classic. Set
on the peaceful island of Cephallonia, just as the horrors of World War II
reach its remote shores, Corelli's Mandolin is ""an exuberant mixture of
history and romance, written with a wit that is incandescent"" (Los Angeles
Times Book Review). Corelli's Mandolin is the story of a timeless place
that one day wakes up to find itself in the jaws of history. The place is
the Greek island of Cephallonia, where gods once dabbled in the affairs of
men and the local saint periodically rises from his sarcophagus to cure the
mad. Then the tide of World War II rolls onto the island's shores in the
form of the conquering Italian army. Caught in the midst of the occupation
are Pelagia, a willful, beautiful young woman, and the two suitors vying
for her love and affection: Mandras, a gentle fisherman turned ruthless,
murderous guerilla, and the charming, mandolin-playing Captain Corelli, a
reluctant officer of the Italian garrison on the island. Rich with
loyalties and betrayals, and set against a landscape where the factual
blends seamlessly with the fantastic, Corelli's Mandolin is a passionate
novel as rich in ideas as it is genuinely moving."
1426,1426,At First SightNicholas Sparks
1427,1427,"It is the driest, flattest, hottest, most desiccated, infertile and
climatically aggressive of all the inhabited continents and still Australia
teems with life - a large portion of it quite deadly. In tact, Australia
has more things that can kill you in a very nasty way than anywhere else.
Ignoring such dangers - and yet curiously obsessed by them - Bill Bryson
journeyed to Australia and promptly fell in love with the country. And who
can blame him ? The people are cheerful, extrovert, quick-witted and
unfailingly obliging : their cities are safe and clean and nearly always
built on water ; the food is excellent ; the beer is cold and the sun
nearly always shines. Life doesn't get much better than this..."
1428,1428,The Memoirs of Sherlock HolmesArthur Conan Doyle
1429,1429,"The son of an influential father who runs an orphan work camp, Pak Jun Do
rises to prominence using instinctive talents and eventually becomes a
professional kidnapper and romantic rival to Kim Jong Il."
1430,1430,"The conclusion of the Belgariad series sees Garion crowned as Overlord of
the West, as in the East, the evil God Torak is about to awaken and
challenge Garion's rule"
1431,1431,"A baseball injury precipitates a friendship between two boys from Hasidic
and Zionist families"
1432,1432,"A novel of Michelangelo who was the creator of David, painter of the
Sistine ceiling, and architect of the dome of St. Peter's."
1433,1433,"A boy named Daniel selects a novel from a library of rare books, enjoying
it so much that he searches for the rest of the author's works, only to
discover that someone is destroying every book the author has ever written.
Reprint."
1434,1434,Where Rainbows EndCecelia Ahern
1435,1435,"A literal-minded housekeeper causes chaos in the Rogers household when she
attempts to make sense of some instructions."
1436,1436,"Named one of ""The 20 Greatest Ever Romance Novels According to Goodreads
Reviews"" by O, The Oprah Magazine! Named one of ""The 10 Best Romance Novels
to Read if You Love Fifty Shades of Grey"" by Today.com! Named one of ""The
20 Best Romance Novels of All Time, According to Dedicated Readers"" by Good
Housekeeping! Young interior designer Ava O'Shea has no idea what awaits
her at the Manor. A run-of-the-mill consultation with a stodgy country gent
seems likely, but what Ava finds instead is Jesse Ward--a devastatingly
handsome, utterly confident, pleasure-seeking playboy who knows no
boundaries. Ava doesn't want to be attracted to this man, and yet she can't
control the overwhelming desire that he stirs in her. She knows that her
heart will never survive him and her instinct is telling her to run, but
Jesse is not willing to let her go. He wants her and is determined to have
her."
1437,1437,"A Dog’s Purpose—the #1 New York Times bestseller—is heading to the big
screen! Based on the beloved bestselling novel by W. Bruce Cameron, A Dog’s
Purpose, from director Lasse Hallström (The Cider House Rules, Dear John,
The 100-Foot Journey), shares the soulful and surprising story of one
devoted dog (voiced by Josh Gad) who finds the meaning of his own existence
through the lives of the humans he teaches to laugh and love. The family
film told from the dog’s perspective also stars Britt Robertson, KJ Apa,
John Ortiz, Peggy Lipton, Juliet Rylance, Luke Kirby, Pooch Hall and Dennis
Quaid. A Dog’s Purpose is produced by Gavin Polone (Zombieland, TV’s
Gilmore Girls). The film from Amblin Entertainment and Walden Media will be
distributed by Universal Pictures. Screenplay by W. Bruce Cameron & Cathryn
Michon and Audrey Wells and Maya Forbes & Wally Wolodarsky. Heartwarming,
insightful, and often laugh-out-loud funny, A Dog's Purpose is not only the
emotional and hilarious story of a dog's many lives, but also a dog's-eye
commentary on human relationships and the unbreakable bonds between man and
man's best friend. This moving and beautifully crafted story teaches us
that love never dies, that our true friends are always with us, and that
every creature on earth is born with a purpose. Bailey's story continues in
A Dog's Journey, the charming New York Times and USA Today bestselling
direct sequel to A Dog's Purpose. A Dog's Purpose Series #1 A Dog’s Purpose
#2 A Dog’s Journey Other A Dog's Purpose Books Ellie's Story: A Dog’s
Purpose Novel Bailey’s Story: A Dog’s Purpose Novel Molly's Story: A Dog's
Purpose Novel (forthcoming) The Rudy McCann Series The Midnight Plan of the
Repo Man Repo Madness Other Books A Dog's Way Home (forthcoming) The Dog
Master The Dogs of Christmas Emory’s Gift This edition of the book is the
deluxe, tall rack mass market paperback."
1438,1438,"""Laia is a Scholar living under the iron-fisted rule of the Martial Empire.
When her brother is arrested for treason, Laia goes undercover as a slave
at the empire's greatest military academy in exchange for assistance from
rebel Scholars who claim that they will help to save her brother from
execution""--"
1439,1439,"Lover Enshrined, part oneJ.R. Ward"
1440,1440,The Golem and the JinniHelene Wecker
1441,1441,"الأسود يليق بكأحلام مستغانمي, Ahlam Mosteghanemi"
1442,1442,"Like bad smells, uninvited weekend guests or very old eggs, there are some
things that ought to be avoided. Snicket's saga about the charming,
intelligent, and grossly unlucky Baudelaire orphans continues to alarm its
distressed and suspicious fans the world over. The 10th book in this
outrageous publishing effort features more than the usual dose of
distressing details, such as snow gnats, an organised troupe of youngsters,
an evil villain with a dastardly plan, a secret headquarters and some
dangerous antics you should not try at home. With the weather turning
colder, this is one chilling book you would be better off without. Ages 10+"
1443,1443,"The English equity court of the nineteenth-century is satirized in Dickins'
tale about the suit of Jarndyce vs. Jarndyce."
1444,1444,"Caps for Sale is a timeless classic, in print for over fifty years, and
beloved by generations of readers. This easy-to-read story about a peddler
and a band of mischievous monkeys is filled with warmth, humor, and
simplicity. Children will delight in following the peddlers efforts to
outwit the monkeys in this new, enlarged, and redesigned edition, and will
ask to read it again and again."
1445,1445,"In the land of Alera, where people bond with the furies--elementals of
earth, air, fire, water, and metal--young Tavi struggles to cope with his
lack of magical talent, until his homeland erupts into conflct between
rebels and loyalists and Tavi discovers that he holds the key to his
realm's survival. Reprint."
1446,1446,"From Tamora Pierce, the first book in the Song of the Lioness Quartet,
honored with the Margaret A. Edwards Award. “From now on I’m Alan of
Trebond, the younger twin. I’ll be a knight.” In a time when girls are
forbidden to be warriors, Alanna of Trebond wants nothing more than to be a
knight of the realm of Tortall. So she finds a way to switch places with
her twin brother, Thom. Disguised as a boy, Alanna begins her training as a
page at the palace of King Roald. But the road to knighthood, as she
discovers, is not an easy one. Alanna must master weapons, combat, and
magic, as well as polite behavior, her temper, and even her own heart.
Filled with swords and sorcery, adventure and intrigue, good and evil,
Alanna’s first adventure begins—one that will lead to the fulfillment of
her dreams and make her a legend in the land."
1447,1447,"At last ---another brilliant, original and moving novel from the author of
THE TIME TRAVELER'S WIFE. Julia and Valentina Poole are normal American
teenagers - normal, at least, for identical 'mirror' twins who have no
interest in college or jobs or possibly anything outside their cozy
suburban home. But everything changes when they receive notice that an aunt
whom they didn't know existed has died and left them her flat in an
apartment block overlooking Highgate Cemetery in London. They feel that at
last their own lives can begin ... but have no idea that they've been
summoned into a tangle of fraying lives, from the obsessive-compulsive
crossword setter who lives above them to their aunt's mysterious and
elusive lover who lives below them, and even to their aunt herself, who
never got over her estrangement from the twins' mother - and who can't even
seem to quite leave her flat.... With Highgate Cemetery itself a character
and echoes of Henry James and Charles Dickens, HER FEARFUL SYMMETRY is a
delicious and deadly twenty-first-century ghost story about Niffenegger's
familiar themes of love, loss and identity. It is certain to cement her
standing as one of the most singular and remarkable novelists of our time."
1448,1448,The Boston GirlAnita Diamant
1449,1449,"Fierce warrior and legendary lover, Rhage, a vampire cursed by the Scribe
Virgin and owned by the dark side, finds salvation in Mary Luce, the
innocent young beauty he has sworn to protect, and together they battle
against their enemies and fight for eternal love. Original."
1450,1450,"Henry is generally well-behaved, but he is occasionally arrogant and vain.
Henry is at heart a hard worker, but his frequent bouts of illness hinder
his work."
1451,1451,"On January 15, 1947, the torture-ravished body of a beautiful young woman
is found in a Los Angeles vacant lot. The victim makes headlines as the
Black Dahlia-and so begins the greatest manhunt in California
history.Caught up in the investigation are Bucky Bleichert and Lee
Blanchard: Warrants Squad cops, friends, and rivals in love with the same
woman. But both are obsessed with the Dahlia-driven by dark needs to know
everything about her past, to capture her killer, to possess the woman even
in death. Their quest will take them on a hellish journey through the
underbelly of postwar Hollywood, to the core of the dead girl's twisted
life, past the extremes of their own psyches-into a region of total
madness."
1452,1452,"In this sequel to ""Alice in Wonderland,"" Alice goes through the mirror to
find a strange world where curious adventures await her."
1453,1453,"A Chinese woman chronicles the struggle of her grandmother, her mother, and
herself to survive in a China torn apart by wars, invasions, revolution,
and continuing upheaval, from 1907 to the present."
1454,1454,"A vocabulary-building story about dogs engaged in every imaginable type of
activity."
1455,1455,Finders KeepersStephen King
1456,1456,"The StrainGuillermo del Toro, Chuck Hogan"
1457,1457,"This comprehensive and authoritative collection of all 1,775 poems by Emily
Dickinson is an essential volume for all lovers of American literature.
Only eleven of Emily Dickinson's poems were published prior to her death in
1886; the startling originality of her work doomed it to obscurity in her
lifetime. Early posthumous published collections -- some of them featuring
liberally ""edited"" versions of the poems -- did not fully and accurately
represent Dickinson's bold experiments in prosody, her tragic vision, and
the range of her intellectual and emotional explorations. Not until the
1955 publication of The Complete Poems of Emily Dickinson, a three-volume
critical edition compiled by Thomas H. Johnson, were readers able for the
first time to assess, understand, and appreciate the whole of Dickinson's
extraordinary poetic genius. This book, a distillation of the three-volume
Complete Poems, brings together the original texts of all 1,775 poems that
Emily Dickinson wrote. ""With its chronological arrangement of the poems,
this volume becomes more than just a collection; it is at the same time a
poetic biography of the thoughts and feelings of a woman whose beauty was
deep and lasting."" --San Francisco Chronicle"
1458,1458,"At first, Travis couldn't stand the sight of Old Yeller The stray dog was
ugly, and a thieving rascal, too. But he sure was clever, and a smart dog
could be a big help on the wild Texas frontier, especially with Papa away
on a long cattle drive up to Abilene. Strong and courageous, Old Yeller
proved that he could protect Travis's family from any sort of danger. But
can Travis do the same for Old Yeller?"
1459,1459,"The riveting, mega-bestselling, beloved and highly acclaimed memoir of a
man, a vocation, and an era named one of the ten best nonfiction titles of
the year by Time and Entertainment Weekly. In the mid-seventies, Steve
Martin exploded onto the comedy scene. By 1978 he was the biggest concert
draw in the history of stand-up. In 1981 he quit forever. This book is, in
his own words, the story of “why I did stand-up and why I walked away.”
Emmy and Grammy Award–winner, author of the acclaimed New York Times
bestsellers Shopgirl and The Pleasure of My Company, and a regular
contributor to The New Yorker, Martin has always been a writer. His memoir
of his years in stand-up is candid, spectacularly amusing, and beautifully
written. At age ten Martin started his career at Disneyland, selling
guidebooks in the newly opened theme park. In the decade that followed, he
worked in the Disney magic shop and the Bird Cage Theatre at Knott’s Berry
Farm, performing his first magic/comedy act a dozen times a week. The story
of these years, during which he practiced and honed his craft, is moving
and revelatory. The dedication to excellence and innovation is formed at an
astonishingly early age and never wavers or wanes. Martin illuminates the
sacrifice, discipline, and originality that made him an icon and informs
his work to this day. To be this good, to perform so frequently, was
isolating and lonely. It took Martin decades to reconnect with his parents
and sister, and he tells that story with great tenderness. Martin also
paints a portrait of his times—the era of free love and protests against
the war in Vietnam, the heady irreverence of The Smothers Brothers Comedy
Hour in the late sixties, and the transformative new voice of Saturday
Night Live in the seventies. Throughout the text, Martin has placed
photographs, many never seen before. Born Standing Up is a superb testament
to the sheer tenacity, focus, and daring of one of the greatest and most
iconoclastic comedians of all time."
1460,1460,"The project that captured a nation's imagination. The instructions were
simple, but the results were extraordinary. ""You are invited to anonymously
contribute a secret to a group art project. Your secret can be a regret,
fear, betrayal, desire, confession, or childhood humiliation. Reveal
anything -- as long as it is true and you have never shared it with anyone
before. Be brief. Be legible. Be creative."" It all began with an idea Frank
Warren had for a community art project. He began handing out postcards to
strangers and leaving them in public places -- asking people to write down
a secret they had never told anyone and mail it to him, anonymously. The
response was overwhelming. The secrets were both provocative and profound,
and the cards themselves were works of art -- carefully and creatively
constructed by hand. Addictively compelling, the cards reveal our deepest
fears, desires, regrets, and obsessions. Frank calls them ""graphic haiku,""
beautiful, elegant, and small in structure but powerfully emotional. As
Frank began posting the cards on his website, PostSecret took on a life of
its own, becoming much more than a simple art project. It has grown into a
global phenomenon, exposing our individual aspirations, fantasies, and
frailties -- our common humanity. Every day dozens of postcards still make
their way to Frank, with postmarks from around the world, touching on every
aspect of human experience. This extraordinary collection brings together
the most powerful, personal, and beautifully intimate secrets Frank Warren
has received -- and brilliantly illuminates that human emotions can be
unique and universal at the same time."
1461,1461,"Robb Stark wears his new-forged crown in the Kingdom of the North, but his
defences are ranged against attack from the South, the land of House
Stark's enemies the Lannisters. His sisters are trapped there at the whim
of the Lannister boy-king Joffrey and his depraved mother Cersei."
1462,1462,"The further adventures of the family of miniature people who, after losing
their home under the kitchen floor of an old English house, are forced to
move out to the fields."
1463,1463,Hearts in AtlantisStephen King
1464,1464,"His life was like his recurring nightmare- a train to nowhere. But an
ordinary life has a way of taking an extraordinary turn. Add a girl whose
ears are so exquisite that, when uncovered, they improve sex a thousand-
fold, a runaway friend, a right-wing politico, an ovine-obsessed professor
and a manic-depressive in a sheep outfit, implicate them in a hunt for a
sheep, that may or may not be running the world, and eth upshot is another
singular masterpiece from Japan's finest novelist."
1465,1465,"#1 New York Times bestselling author and “queen of royal fiction” (USA
TODAY) Philippa Gregory weaves a spellbinding tale of a young woman with
the ability to see the future in an era when destiny was anything but
clear. Winter, 1553. Pursued by the Inquisition, Hannah Green, a fourteen-
year-old Jewish girl, is forced to flee with her father from their home in
Spain. But Hannah is no ordinary refugee; she has the gift of “Sight,” the
ability to foresee the future, priceless in the troubled times of the Tudor
court. Hannah is adopted by the glamorous Robert Dudley, the charismatic
son of King Edward’s protector, who brings her to court as a “holy fool”
for Queen Mary and, ultimately, Queen Elizabeth. Hired as a fool but
working as a spy; promised in wedlock but in love with her master;
endangered by the laws against heresy, treason, and witchcraft, Hannah must
choose between the safe life of a commoner and the dangerous intrigues of
the royal family that are inextricably bound up with her own yearnings and
desires. Teeming with vibrant period detail and peopled by characters
seamlessly woven into the sweeping tapestry of history, The Queen’s Fool is
a rich and emotionally resonant gem from a masterful storyteller."
1466,1466,Days of Blood & StarlightLaini Taylor
1467,1467,"This philosophical epic, with a large cast of characters, addresses the
fervent desire of the human race to overcome the tyranny of aging and
physical death"
1468,1468,"After Ranger's apprentice Will battles Temujai warriors to rescue Evanlyn,
Will's kingdom of Skandia joins forces with rival kingdom Araluen to defeat
a common enemy."
1469,1469,"""Sixteen-year-old Ruby breaks out of a government-run 'rehabilitation camp'
for teens who acquired dangerous powers after surviving a virus that wiped
out most American children""--"
1470,1470,"When his war correspondent wife goes missing with a friend who may be a
lover, a celebrity novelist comes under suspicion, until the friend
reappears and invites him to undertake a spiritual journey to Kazakhstan.
By the author of Eleven Minutes. 100,000 first printing."
1471,1471,"""This book is written with the sole objective of helping the reader achieve
a happy, satisfying, and worthwhile life."" -- Norman Vincent Peale The
Power of Positive Thinking has helped millions of men and women to achieve
fulfillment in their lives. In this phenomenal bestseller, Dr. Peale
demonstrates the power of faith in action. With the practical techniques
outlined in this book, you can energize your life -- and give yourself the
initiative needed to carry out your ambitions and hopes. You'll learn how
to: • believe in yourself and in everything you do • build new power and
determination • develop the power to reach your goals • break the worry
habit and achieve a relaxed life • improve your personal and professional
relationships • assume control over your circumstances • be kind to
yourself"
1472,1472,"""What should be a cozy and fun-filled weekend deep in the English
countryside takes a sinister turn in Ruth Ware's suspenseful, compulsive,
and darkly twisted psychological thriller. Leonora, known to some as Lee
and others as Nora, is a reclusive crime writer, unwilling to leave her
""nest"" of an apartment unless it is absolutely necessary. When a friend she
hasn't seen or spoken to in years unexpectedly invites Nora (Lee?) to a
weekend away in an eerie glass house deep in the English countryside, she
reluctantly agrees to make the trip. Forty-eight hours later, she wakes up
in a hospital bed injured but alive, with the knowledge that someone is
dead. Wondering not ""what happened?"" but ""what have I done?,"" Nora (Lee?)
tries to piece together the events of the past weekend. Working to uncover
secrets, reveal motives, and find answers, Nora (Lee?) must revisit parts
of herself that she would much rather leave buried where they belong: in
the past. In the tradition of Paula Hawkins's instant New York Times
bestseller The Girl On the Train and S. J. Watson's riveting national
sensation Before I Go To Sleep, this gripping literary debut from UK
novelist Ruth Ware will leave you on the edge of your seat through the very
last page""--"
1473,1473,"The House of MirthEdith Wharton, Nina Bawden"
1474,1474,"Small-town wizard Lucy would love to join Fairy Tail, a guild for powerful
wizards, but instead finds herself teaming up with Natsu, a crazy fire
wizard whose best friend is a talking, flying cat named Happy."
1475,1475,"Living in the abandoned tunnel system beneath the University, the enigmatic
Auri reflects on her bittersweet life while making unique observations
about the broken world she would survive. By the best-selling author of The
Name of the Wind. 100,000 first printing."
1476,1476,Twelve Years a SlaveSolomon Northup
1477,1477,"Rehvenge, a ""symphath"" vampire who gets energy from the emotions of others,
is recruited by a faction that wants to assassinate the vampire king and is
attracted to the innocence of vampire nurse, Ehlena, who rejects him."
1478,1478,"Recounts the story of the 1820 wreck of the whaleship Essex, which inspired
Melville's classic ""Moby-Dick,"" and describes its doomed crew's ninety-day
attempt to survive whale attacks and the elements on three tiny lifeboats"
1479,1479,"The author of The Caged Virgin recounts the story of her life, from her
traditional Muslim childhood in Somalia and escape from a forced marriage
to her efforts to promote women's rights while surviving numerous threats
to her safety. Reprint. 100,000 first printing."
1480,1480,"Examines the role of the unexpected, discussing why improbable events are
not anticipated or understood properly, and how humans rationalize the
black swan phenomenon to make it appear less random."
1481,1481,The TwelveJustin Cronin
1482,1482,"Один день Ивана ДенисовичаAleksandr Solzhenitsyn, H.T. Willetts"
1483,1483,"The story of an engineer who creates a device to raise a girl capable of
thinking for herself reveals what happens when a young girl of the poor
underclass obtains the device."
1484,1484,A Canticle for LeibowitzWalter M. Miller Jr.
1485,1485,"To make this quintessential Greek drama more accessible to the modern
reader, this Prestwick House Literary Touchstone Edition? includes a
glossary of difficult terms, a list of vocabulary words, and convenient
sidebar notes. By providing these, it is our intention that readers will
more fully enjoy the beauty, wisdom, and intent of the play.The curse
placed on Oedipus lingers and haunts a younger generation in this new and
brilliant translation of Sophocles? classic drama. The daughter of Oedipus
and Jocasta, Antigone is an unconventional heroine who pits her beliefs
against the King of Thebes in a bloody test of wills that leaves few
unharmed. Emotions fly as she challenges the king for the right to bury her
own brother. Determined but doomed, Antigone shows her inner strength
throughout the play. Antigone raises issues of law and morality that are
just as relevant today as they were more than two thousand years ago.
Whether this is your first reading or your twentieth, Antigone will move
you as few pieces of literature can."
1486,1486,"Leaving her home in post-World War II Ireland to work as a bookkeeper in
Brooklyn, Eilis Lacey discovers a new romance in America with a charming
blond Italian man before devastating news threatens her happiness."
1487,1487,WitherLauren DeStefano
1488,1488,Hillbilly Elegy. A Memoir of a Family and Culture in CrisisJ.D. Vance
1489,1489,Crossroads of TwilightRobert Jordan
1490,1490,The Red Badge of CourageStephen Crane
1491,1491,"From the creator of the wildly popular webcomic xkcd, hilarious and
informative answers to important questions you probably never thought to
ask Millions of people visit xkcd.com each week to read Randall Munroe's
iconic webcomic. His stick-figure drawings about science, technology,
language, and love have an enormous, dedicated following, as do his deeply
researched answers to his fans' strangest questions. The queries he
receives range from merely odd to downright diabolical: • What if I took a
swim in a spent-nuclear-fuel pool? • Could you build a jetpack using
downward-firing machine guns? • What if a Richter 15 earthquake hit New
York City? • Are fire tornadoes possible? His responses are masterpieces of
clarity and wit, gleefully and accurately explaining everything from the
relativistic effects of a baseball pitched at near the speed of light to
the many horrible ways you could die while building a periodic table out of
all the actual elements. The book features new and never-before-answered
questions, along with the most popular answers from the xkcd website. What
If? is an informative feast for xkcd fans and anyone who loves to ponder
the hypothetical."
1492,1492,Gardens of the MoonSteven Erikson
